segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days
50,21,NPP CRIS Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1349,1377,501,28,13,2015.03827,2016.016639,0.978369,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13519,13877,2015,14,2015-D014,2016,7,2016-D007,359
51,21,NPP CRIS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1378,1476,501,98,13,2016.051581,2019.475874,3.424293,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15139,2016,19,2016-D019,2019,174,2019-D174,1251
52,22,AQUA AIRS Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,999,1013,521,14,13,2002.808652,2003.297837,0.489185,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9056,9234,2002,296,2002-D296,2003,109,2003-D109,179
53,22,AQUA AIRS Rad.,Hyperspectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1022,1024,521,2,12,2003.612313,2003.682196,0.069884,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9349,9375,2003,224,2003-D224,2003,250,2003-D250,27
54,22,AQUA AIRS Rad.,Hyperspectral infrared,True,red,thin,red_thin,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1042,1043,521,1,2,2004.311148,2004.34609,0.034942,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9604,9617,2004,114,2004-D114,2004,127,2004-D127,14
55,22,AQUA AIRS Rad.,Hyperspectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1079,1083,521,4,13,2005.603993,2005.74376,0.139767,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10076,10127,2005,221,2005-D221,2005,272,2005-D272,52
56,22,AQUA AIRS Rad.,Hyperspectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1205,1210,521,5,13,2010.006656,2010.181364,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11683,11747,2010,3,2010-D003,2010,67,2010-D067,65
57,22,AQUA AIRS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1013,1079,521,66,13,2003.297837,2005.603993,2.306156,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9234,10076,2003,109,2003-D109,2005,221,2005-D221,843
58,22,AQUA AIRS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1082,1204,521,122,13,2005.708819,2009.971714,4.262895,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10114,11670,2005,259,2005-D259,2009,355,2009-D355,1557
59,22,AQUA AIRS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1210,1375,521,165,13,2010.181364,2015.946755,5.765391,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11747,13851,2010,67,2010-D067,2015,346,2015-D346,2105
60,22,AQUA AIRS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1378,1482,521,104,13,2016.051581,2019.685524,3.633943,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15216,2016,19,2016-D019,2019,251,2019-D251,1328
61,23,METOP-A IASI Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1124,1377,540,253,13,2007.176373,2016.016639,8.840266,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10650,13877,2007,65,2007-D065,2016,7,2016-D007,3228
62,23,METOP-A IASI Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1376,1482,540,106,13,2015.981697,2019.685524,3.703827,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13864,15216,2015,359,2015-D359,2019,251,2019-D251,1353
63,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1034,1041,617,7,13,2004.031614,2004.276206,0.244592,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9502,9591,2004,12,2004-D012,2004,101,2004-D101,90
64,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1046,1049,617,3,11,2004.450915,2004.55574,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9655,9693,2004,165,2004-D165,2004,203,2004-D203,39
65,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1054,1058,617,4,12,2004.730449,2004.870216,0.139767,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9757,9808,2004,267,2004-D267,2004,318,2004-D318,52
66,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1062,1067,617,5,13,2005.009983,2005.184692,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9859,9923,2005,4,2005-D004,2005,68,2005-D068,65
67,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1071,1100,617,29,13,2005.324459,2006.33777,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9974,10344,2005,119,2005-D119,2006,124,2006-D124,371
68,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,776,1035,617,259,13,1995.016639,2004.066556,9.049917,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,6212,9515,1995,7,1995-D007,2004,25,2004-D025,3304
69,24,NOAA 14 SSU TOVS1B Rad,Multispectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1041,1054,617,13,13,2004.276206,2004.730449,0.454243,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9591,9757,2004,101,2004-D101,2004,267,2004-D267,167
